0.000000 	 -1.#IND00 	 -1.#IND00 	 -1.#IND00 	 -1.#IND00 	 -1.#IND00 	 -1.#IND00 
0.206000 	 0.992942 	 0.068376 	 0.002821 	 0.000083 	 0.000002 	 0.000000 
0.207000 	 0.992874 	 0.068705 	 0.002848 	 0.000084 	 0.000002 	 0.000000 
0.208000 	 0.992805 	 0.069034 	 0.002875 	 0.000085 	 0.000002 	 0.000000 
0.209000 	 0.992736 	 0.069363 	 0.002903 	 0.000087 	 0.000002 	 0.000000 
0.210000 	 0.992666 	 0.069692 	 0.002931 	 0.000088 	 0.000002 	 0.000000 
0.211000 	 0.992596 	 0.070021 	 0.002959 	 0.000089 	 0.000002 	 0.000000 
0.212000 	 0.992526 	 0.070350 	 0.002987 	 0.000091 	 0.000002 	 0.000000 
0.213000 	 0.992456 	 0.070678 	 0.003015 	 0.000092 	 0.000002 	 0.000000 
0.214000 	 0.992385 	 0.071007 	 0.003043 	 0.000093 	 0.000002 	 0.000000 
0.215000 	 0.992314 	 0.071336 	 0.003072 	 0.000094 	 0.000002 	 0.000000 
0.216000 	 0.992242 	 0.071665 	 0.003100 	 0.000096 	 0.000002 	 0.000000 
0.217000 	 0.992170 	 0.071993 	 0.003129 	 0.000097 	 0.000002 	 0.000000 
0.218000 	 0.992098 	 0.072322 	 0.003158 	 0.000098 	 0.000002 	 0.000000 
0.219000 	 0.992026 	 0.072650 	 0.003186 	 0.000100 	 0.000002 	 0.000000 
0.220000 	 0.991953 	 0.072979 	 0.003216 	 0.000101 	 0.000002 	 0.000000 
0.221000 	 0.991880 	 0.073307 	 0.003245 	 0.000103 	 0.000003 	 0.000000 
0.222000 	 0.991806 	 0.073636 	 0.003274 	 0.000104 	 0.000003 	 0.000000 
0.223000 	 0.991732 	 0.073964 	 0.003304 	 0.000105 	 0.000003 	 0.000000 
0.224000 	 0.991658 	 0.074293 	 0.003333 	 0.000107 	 0.000003 	 0.000000 
0.225000 	 0.991584 	 0.074621 	 0.003363 	 0.000108 	 0.000003 	 0.000000 
0.226000 	 0.991509 	 0.074949 	 0.003393 	 0.000110 	 0.000003 	 0.000000 
0.227000 	 0.991434 	 0.075277 	 0.003423 	 0.000111 	 0.000003 	 0.000000 
0.228000 	 0.991358 	 0.075606 	 0.003453 	 0.000113 	 0.000003 	 0.000000 
0.229000 	 0.991283 	 0.075934 	 0.003483 	 0.000114 	 0.000003 	 0.000000 
0.230000 	 0.991207 	 0.076262 	 0.003513 	 0.000116 	 0.000003 	 0.000000 
0.231000 	 0.991130 	 0.076590 	 0.003544 	 0.000117 	 0.000003 	 0.000000 
0.232000 	 0.991053 	 0.076918 	 0.003574 	 0.000119 	 0.000003 	 0.000000 
0.233000 	 0.990976 	 0.077246 	 0.003605 	 0.000120 	 0.000003 	 0.000000 
0.234000 	 0.990899 	 0.077574 	 0.003636 	 0.000122 	 0.000003 	 0.000000 
0.235000 	 0.990821 	 0.077902 	 0.003667 	 0.000123 	 0.000003 	 0.000000 
0.236000 	 0.990743 	 0.078229 	 0.003698 	 0.000125 	 0.000003 	 0.000000 
0.237000 	 0.990665 	 0.078557 	 0.003730 	 0.000126 	 0.000003 	 0.000000 
0.238000 	 0.990586 	 0.078885 	 0.003761 	 0.000128 	 0.000003 	 0.000000 
0.239000 	 0.990507 	 0.079213 	 0.003793 	 0.000130 	 0.000003 	 0.000000 
0.240000 	 0.990428 	 0.079540 	 0.003824 	 0.000131 	 0.000004 	 0.000000 
0.241000 	 0.990348 	 0.079868 	 0.003856 	 0.000133 	 0.000004 	 0.000000 
0.242000 	 0.990268 	 0.080195 	 0.003888 	 0.000135 	 0.000004 	 0.000000 
0.243000 	 0.990188 	 0.080523 	 0.003920 	 0.000136 	 0.000004 	 0.000000 
0.244000 	 0.990107 	 0.080850 	 0.003952 	 0.000138 	 0.000004 	 0.000000 
0.245000 	 0.990026 	 0.081178 	 0.003985 	 0.000140 	 0.000004 	 0.000000 
0.246000 	 0.989944 	 0.081505 	 0.004017 	 0.000141 	 0.000004 	 0.000000 
0.247000 	 0.989863 	 0.081832 	 0.004050 	 0.000143 	 0.000004 	 0.000000 
0.248000 	 0.989781 	 0.082159 	 0.004082 	 0.000145 	 0.000004 	 0.000000 
0.249000 	 0.989698 	 0.082487 	 0.004115 	 0.000147 	 0.000004 	 0.000000 
0.250000 	 0.989616 	 0.082814 	 0.004148 	 0.000148 	 0.000004 	 0.000000 
0.251000 	 0.989533 	 0.083141 	 0.004181 	 0.000150 	 0.000004 	 0.000000 
0.252000 	 0.989450 	 0.083468 	 0.004214 	 0.000152 	 0.000004 	 0.000000 
0.253000 	 0.989366 	 0.083795 	 0.004248 	 0.000154 	 0.000004 	 0.000000 
0.254000 	 0.989282 	 0.084122 	 0.004281 	 0.000156 	 0.000004 	 0.000000 
0.255000 	 0.989198 	 0.084449 	 0.004315 	 0.000157 	 0.000004 	 0.000000 
0.256000 	 0.989113 	 0.084775 	 0.004349 	 0.000159 	 0.000005 	 0.000000 
0.257000 	 0.989028 	 0.085102 	 0.004383 	 0.000161 	 0.000005 	 0.000000 
0.258000 	 0.988943 	 0.085429 	 0.004417 	 0.000163 	 0.000005 	 0.000000 
0.259000 	 0.988857 	 0.085756 	 0.004451 	 0.000165 	 0.000005 	 0.000000 
0.260000 	 0.988771 	 0.086082 	 0.004485 	 0.000167 	 0.000005 	 0.000000 
0.261000 	 0.988685 	 0.086409 	 0.004519 	 0.000169 	 0.000005 	 0.000000 
0.262000 	 0.988599 	 0.086735 	 0.004554 	 0.000171 	 0.000005 	 0.000000 
0.263000 	 0.988512 	 0.087062 	 0.004589 	 0.000173 	 0.000005 	 0.000000 
0.264000 	 0.988424 	 0.087388 	 0.004623 	 0.000175 	 0.000005 	 0.000000 
0.265000 	 0.988337 	 0.087715 	 0.004658 	 0.000177 	 0.000005 	 0.000000 
0.266000 	 0.988249 	 0.088041 	 0.004693 	 0.000179 	 0.000005 	 0.000000 
0.267000 	 0.988161 	 0.088367 	 0.004728 	 0.000181 	 0.000005 	 0.000000 
0.268000 	 0.988072 	 0.088693 	 0.004764 	 0.000183 	 0.000005 	 0.000000 
0.269000 	 0.987983 	 0.089020 	 0.004799 	 0.000185 	 0.000006 	 0.000000 
0.270000 	 0.987894 	 0.089346 	 0.004835 	 0.000187 	 0.000006 	 0.000000 
0.271000 	 0.987805 	 0.089672 	 0.004870 	 0.000189 	 0.000006 	 0.000000 
0.272000 	 0.987715 	 0.089998 	 0.004906 	 0.000191 	 0.000006 	 0.000000 
0.273000 	 0.987625 	 0.090324 	 0.004942 	 0.000193 	 0.000006 	 0.000000 
